Entry,Model,X1,X2,X3,X4,N,Collinearity,Identifiable,Timepoints,log.col
Baker2015,2ps,1,1,1,1,4,4804942.6,FALSE,5,6.681688204
Ball2019,2pp,1,1,0,,2,1.5,TRUE,5,0.176091259
Ball2019,2pp,1,0,1,,2,2,TRUE,5,0.301029996
Ball2019,2pp,0,1,1,,2,5.1,TRUE,5,0.707570176
Ball2019,2pp,1,1,1,,3,16.2,TRUE,5,1.209515015
Ball2019,2ps,1,1,0,0,2,3.9,TRUE,5,0.591064607
Ball2019,2ps,1,0,1,0,2,8.6,TRUE,5,0.934498451
Ball2019,2ps,1,0,0,1,2,8.6,TRUE,5,0.934498451
Ball2019,2ps,0,1,1,0,2,7.1,TRUE,5,0.851258349
Ball2019,2ps,0,1,0,1,2,7.1,TRUE,5,0.851258349
Ball2019,2ps,0,0,1,1,2,6197598.8,FALSE,5,6.792223459
Ball2019,2ps,1,1,1,0,3,73.2,FALSE,5,1.864511081
Ball2019,2ps,1,1,0,1,3,73.2,FALSE,5,1.864511081
Ball2019,2ps,1,0,1,1,3,7648311,FALSE,5,6.883565539
Ball2019,2ps,0,1,1,1,3,7495552,FALSE,5,6.874803621
Ball2019,2ps,1,1,1,1,4,7582380.6,FALSE,5,6.87980558
Bates2007,2pp,1,1,0,,2,1.1,TRUE,7,0.041392685
Bates2007,2pp,1,0,1,,2,1.4,TRUE,7,0.146128036
Bates2007,2pp,0,1,1,,2,3.4,TRUE,7,0.531478917
Bates2007,2pp,1,1,1,,3,6,TRUE,7,0.77815125
Bates2007,2ps,1,1,0,0,2,2.4,TRUE,7,0.380211242
Bates2007,2ps,1,0,1,0,2,5.1,TRUE,7,0.707570176
Bates2007,2ps,1,0,0,1,2,5.1,TRUE,7,0.707570176
Bates2007,2ps,0,1,1,0,2,4.1,TRUE,7,0.612783857
Bates2007,2ps,0,1,0,1,2,4.1,TRUE,7,0.612783857
Bates2007,2ps,0,0,1,1,2,218444.5,FALSE,7,5.339341115
Bates2007,2ps,1,1,1,0,3,14.7,TRUE,7,1.167317335
Bates2007,2ps,1,1,0,1,3,14.7,TRUE,7,1.167317335
Bates2007,2ps,1,0,1,1,3,696301.6,FALSE,7,5.842797393
Bates2007,2ps,0,1,1,1,3,305951.1,FALSE,7,5.485652019
Bates2007,2ps,1,1,1,1,4,980051.6,FALSE,7,5.991248942
Berenstecher2020,2pp,1,1,0,,2,1.1,TRUE,5,0.041392685
Berenstecher2020,2pp,1,0,1,,2,1.4,TRUE,5,0.146128036
Berenstecher2020,2pp,0,1,1,,2,3.6,TRUE,5,0.556302501
Berenstecher2020,2pp,1,1,1,,3,6.7,TRUE,5,0.826074803
Berenstecher2020,2ps,1,1,0,0,2,2.6,TRUE,5,0.414973348
Berenstecher2020,2ps,1,0,1,0,2,6.3,TRUE,5,0.799340549
Berenstecher2020,2ps,1,0,0,1,2,6.3,TRUE,5,0.799340549
Berenstecher2020,2ps,0,1,1,0,2,4.1,TRUE,5,0.612783857
Berenstecher2020,2ps,0,1,0,1,2,4.1,TRUE,5,0.612783857
Berenstecher2020,2ps,0,0,1,1,2,471724.1,FALSE,5,5.673688065
Berenstecher2020,2ps,1,1,1,0,3,19.9,TRUE,5,1.298853076
Berenstecher2020,2ps,1,1,0,1,3,19.9,TRUE,5,1.298853076
Berenstecher2020,2ps,1,0,1,1,3,1877984.7,FALSE,5,6.27369205
Berenstecher2020,2ps,0,1,1,1,3,730772.6,FALSE,5,5.863782255
Berenstecher2020,2ps,1,1,1,1,4,7186311.4,FALSE,5,6.856506032
Berenstecher2021,2pp,1,1,0,,2,1,TRUE,6,0
